"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","var","conf.low","conf.high","label"
"1","Capnocytophaga","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",0.0965667155587116,0.203187605188149,0.63473333095727,"KRD_nGoatsWghtDist.3000m.sum",0.927190109213405,812,519,"KRD_nGoatsWghtDist.3000m.sum",-0.301680990610061,0.494814421727484,NA
"2","Campylobacter","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0292639645936734,0.0971634023694766,0.763353909999933,"KRD_nGoatsWghtDist.3000m.sum",0.973650803267199,812,808,"KRD_nGoatsWghtDist.3000m.sum",-0.219704233237848,0.161176304050501,NA
"3","Fusobacterium","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0504267470307493,0.15349351696275,0.742600051711503,"KRD_nGoatsWghtDist.3000m.sum",0.973650803267199,812,772,"KRD_nGoatsWghtDist.3000m.sum",-0.351274040277739,0.25042054621624,NA
"4","Oribacterium","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0508838533445888,0.109579321621778,0.642519915042854,"KRD_nGoatsWghtDist.3000m.sum",0.927190109213405,812,785,"KRD_nGoatsWghtDist.3000m.sum",-0.265659323723275,0.163891617034097,NA
"5","Granulicatella","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0537827966574419,0.102835037266458,0.601119859893903,"KRD_nGoatsWghtDist.3000m.sum",0.927190109213405,812,801,"KRD_nGoatsWghtDist.3000m.sum",-0.255339469699699,0.147773876384815,NA
"6","Lachnoanaerobaculum","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.058428804391447,0.123574003850342,0.636468571687767,"KRD_nGoatsWghtDist.3000m.sum",0.927190109213405,812,783,"KRD_nGoatsWghtDist.3000m.sum",-0.300633851938118,0.183776243155224,NA
"7","Leptotrichia","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0617733070104841,0.123360360046365,0.616682570005606,"KRD_nGoatsWghtDist.3000m.sum",0.927190109213405,812,797,"KRD_nGoatsWghtDist.3000m.sum",-0.30355961270136,0.180012998680392,NA
"8","Actinomyces","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0634101042216237,0.0942611880623157,0.501330067693219,"KRD_nGoatsWghtDist.3000m.sum",0.92119399938629,812,812,"KRD_nGoatsWghtDist.3000m.sum",-0.248162032823762,0.121341824380515,NA
"9","Stomatobaculum","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0676890846012859,0.125652326725618,0.590244090731568,"KRD_nGoatsWghtDist.3000m.sum",0.927190109213405,812,777,"KRD_nGoatsWghtDist.3000m.sum",-0.313967644983496,0.178589475780924,NA
"10","Prevotella","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.072937718839425,0.0974924321685444,0.454599194490671,"KRD_nGoatsWghtDist.3000m.sum",0.92119399938629,812,810,"KRD_nGoatsWghtDist.3000m.sum",-0.264022885889772,0.118147448210922,NA
"11","Veillonella","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0786480507236168,0.0887607448798948,0.375849530099096,"KRD_nGoatsWghtDist.3000m.sum",0.915312134763361,812,811,"KRD_nGoatsWghtDist.3000m.sum",-0.252619110688211,0.0953230092409769,NA
"12","Neisseria","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0835927963710256,0.170300265206335,0.623664560956293,"KRD_nGoatsWghtDist.3000m.sum",0.927190109213405,812,742,"KRD_nGoatsWghtDist.3000m.sum",-0.417381316175442,0.250195723433391,NA
"13","Streptococcus","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0857506135000064,0.0787859547607019,0.276749338091495,"KRD_nGoatsWghtDist.3000m.sum",0.895240257040155,812,812,"KRD_nGoatsWghtDist.3000m.sum",-0.240171084830982,0.0686698578309693,NA
"14","Rothia","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0893963901146224,0.0986173476147073,0.364947883839876,"KRD_nGoatsWghtDist.3000m.sum",0.915312134763361,812,806,"KRD_nGoatsWghtDist.3000m.sum",-0.282686391439449,0.103893611210204,NA
"15","Porphyromonas","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.0988375745941894,0.172424253676911,0.566656117796414,"KRD_nGoatsWghtDist.3000m.sum",0.927190109213405,812,726,"KRD_nGoatsWghtDist.3000m.sum",-0.436789111800936,0.239113962612557,NA
"16","Haemophilus","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.102279434911481,0.128080374981677,0.424786621070533,"KRD_nGoatsWghtDist.3000m.sum",0.915312134763361,812,787,"KRD_nGoatsWghtDist.3000m.sum",-0.353316969875569,0.148758100052606,NA
"17","Alloprevotella","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.111736119946408,0.136535829446715,0.413394741410676,"KRD_nGoatsWghtDist.3000m.sum",0.915312134763361,812,761,"KRD_nGoatsWghtDist.3000m.sum",-0.379346345661969,0.155874105769154,NA
"18","Selenomonas","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.132304296682677,0.147315862280928,0.369405119203528,"KRD_nGoatsWghtDist.3000m.sum",0.915312134763361,812,728,"KRD_nGoatsWghtDist.3000m.sum",-0.421043386753297,0.156434793387942,NA
"19","Megasphaera","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.181812201916655,0.149143691980363,0.22319130796231,"KRD_nGoatsWghtDist.3000m.sum",0.823975157208839,812,724,"KRD_nGoatsWghtDist.3000m.sum",-0.474133838198166,0.110509434364856,NA
"20","Gemella","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.198750360118734,0.117074682450207,0.0899685647471608,"KRD_nGoatsWghtDist.3000m.sum",0.533176427377174,812,787,"KRD_nGoatsWghtDist.3000m.sum",-0.42821673772114,0.030716017483672,NA
"21","Atopobium","KRD_nGoatsWghtDist.3000m.sum","KRD_nGoatsWghtDist.3000m.sum",-0.202377967074042,0.128506416219202,0.115690567060402,"KRD_nGoatsWghtDist.3000m.sum",0.586431495099278,812,772,"KRD_nGoatsWghtDist.3000m.sum",-0.454250542863678,0.0494946087155939,NA
